indice,valor
1,9
2,4
3,6
4,19
5,7
6,5
7,2
8,8
9,15
10,15
11,17
12,13
13,5
14,5
15,5
16,9
17,9
18,10
19,12
20,19
21,6
22,7
23,10
24,1
25,5
26,4
27,5
28,19
29,11
30,16
31,3
32,18
33,2
34,2
35,2
36,2
37,2
38,3
39,3
40,3
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,0
60,0
61,0.68236627419105
62,0.24152571216077703
63,-0.25070330137384533
64,-0.6828355541890809
65,-0.9503649060557884
66,-0.9835278665944391
67,-0.7728512295948692
68,-0.3800504520688965
69,0.11398948918789717
70,0.5726963813899396
71,0.9070803160746268
72,0.9972802284147247
73,0.8428003509953728
74,0.4743612193404227
75,-3.300340092624971e-05
76,-0.4875225750563182
77,-0.8432159757895237
78,-0.9983394644997385
79,-0.8987075598130435
80,-0.5816942774956182
81,-0.11136064224284255
82,0.38951324897695927
83,0.7896434852136861
84,0.9886434917786859
85,0.9354908716187281
86,0.6443478850068233
87,0.1907596784799552
88,-0.3078623162123755
89,-0.7262429338604015
90,-0.9718668998714031
91,-0.9675040738251295
92,-0.7262995276847986
93,-0.3077106283696061
94,0.1973661695866584
95,0.6622811211134564
96,0.9386673001852495
97,0.987452351106592
